"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"1839","5607","Stevens Point Area",1994-12-06,24313000,"Issue Debt",3313,6708,"Failed","new hs & land purchace",1
"1840","5607","Stevens Point Area",1994-12-06,13052000,"Issue Debt",6586,3452,"Passed","various district wide improvements",1
"1841","5607","Stevens Point Area",1999-11-02,5.4e+07,"Issue Debt",4814,5158,"Failed","construct, add to, remodel, improve, & equip e.& s.s.",1
"1842","5607","Stevens Point Area",1999-11-02,2970000,"RR - 2001",4798,5139,"Failed","maintain academic program, upgrade facilities, other cost",1
"1843","5607","Stevens Point Area",2006-11-07,26400000,"NR - 2007",12117,10327,"Passed","Maintain general operations",1
"1844","5607","Stevens Point Area",2010-04-06,7100000,"NR - 2010",6994,7181,"Failed","Maintain General Operations",1
"1845","5607","Stevens Point Area",2018-11-06,3500000,"RR - 2018",18087,9142,"Passed","Maintain General Operations",1
"1846","5607","Stevens Point Area",2018-11-06,75900000,"Issue Debt",18436,8551,"Passed","Remodel/improve/equip schools",1
"1847","5614","Stockbridge",1995-04-04,350000,"Issue Debt",336,180,"Passed","demo of 1912 section, add 4 clsrms & restrooms",1
"1848","5614","Stockbridge",1998-02-17,1500000,"Issue Debt",230,142,"Passed","gymnasium, classroom addition & other improvements",1
"1849","5614","Stockbridge",2001-04-03,450000,"NR",228,285,"Failed","maintain educational programs",1
"1850","5614","Stockbridge",2001-11-06,450000,"NR",234,327,"Failed","structural repairs, replace school van, maintain/upgrade existing educational programs of district",1
"1851","3542","Stone Bank School District",1995-04-04,4785000,"Issue Debt",444,358,"Passed","new K-8",1
"1852","3542","Stone Bank School District",2014-11-04,2500000,"Issue Debt",1140,456,"Passed","paying the cost of capital improvement projects at the District building and grounds, including safety and security upgrades, roof, window, flooring and HVAC replacement, lighting and parking lot improvements, library and classroom remodeling and repurposing, technology and STEM related upgrades, restroom and water system improvements, playground equipment and bleacher repairs; and acquiring furnishings, fixtures and equipment.",1
"1853","5621","Stoughton Area",1994-02-15,11525000,"Issue Debt",1074,1874,"Failed","new MS",1
"1854","5621","Stoughton Area",1994-11-08,305000,"Issue Debt",3508,2013,"Passed","19 acre land purchase",1
"1855","5621","Stoughton Area",1996-02-06,7630000,"Issue Debt",2063,1928,"Passed","Q3: add & renov at hs",1
"1856","5621","Stoughton Area",1996-02-06,14196000,"Issue Debt",2187,1818,"Passed","Q2: 2 new elem",1
"1857","5621","Stoughton Area",1996-02-06,3819000,"Issue Debt",3160,848,"Passed","Q1: elem add & renov",1
"1858","5621","Stoughton Area",1999-04-06,335000,"Issue Debt",2110,1294,"Passed","renovate old administration bldg; buy equipment",1
"1859","5621","Stoughton Area",2001-04-03,2500000,"Issue Debt",2140,1481,"Passed","upgrade and maintain school facilities including replacing boilers and acquire and install related equipment",1
"1860","5621","Stoughton Area",2002-11-05,4500000,"Issue Debt",4085,3266,"Passed","construct/equip new swimming pool facility",1
"1861","5621","Stoughton Area",2010-04-06,7250000,"Issue Debt",3866,2117,"Passed","For maintaining and improving school buildings",1
"1862","5621","Stoughton Area",2022-11-08,36300000,"Issue Debt",7441,3865,"Passed","School facility improvement project for safety, security, energy efficiency, capital maintenance, site improvements, remodeling, and removal of old structures and construction of a new maintenance facility.",1
"1863","5621","Stoughton Area",2022-11-08,11700000,"Issue Debt",7060,4222,"Passed","Construction of a gymnasium addition at River Bluff Middle School and removal of Community Gym building.",1
"1864","5628","Stratford",1996-09-10,2820000,"Issue Debt",2105,1893,"Passed","add classrooms. remodeling and renovate ath. fields",1
"1865","5628","Stratford",2000-12-19,1900000,"Issue Debt",318,461,"Failed","school building and improvement program including construct and equip gymnasium and exercise facility, coaching offices, shower facilities and greenhouse at HS",1
"1866","5628","Stratford",2009-05-19,3700000,"Issue Debt",772,296,"Passed","Paying the cost of constructing an 8 classroom addition to the middle school wing of the 6-12 building; remodeling and improvement projects in all district schools; and acquiring equipment, furnishings and fixtures",1
"1867","5628","Stratford",2016-04-05,15995000,"Issue Debt",1239,955,"Passed","School improvement program at the High School and Elementary School consisting of renovations, remodeling, infrastructure and capital maintenance improvements, a classroom addition, technology and security upgrades, asbestos abatement and site improvements; and acquiring furnishings, fixtures and equipment.",1
"1868","5628","Stratford",2016-04-05,7995000,"Issue Debt",883,1280,"Failed","Construct and equip an auditorium, gymnasium, lobby and restrooms.",1
"1869","5642","Sturgeon Bay",1994-09-13,2300000,"Issue Debt",629,1076,"Failed","classroom add-elem",1
"1870","5642","Sturgeon Bay",2000-11-07,1900000,"Issue Debt",2994,1376,"Passed","maintenance, capital improvement projects/equipment",1
"1871","5642","Sturgeon Bay",2020-04-07,16840000,"Issue Debt",1885,953,"Passed","Issue debt for an addition and remodeling of Sawyer Elementary School, safety and security upgrades at the High School/District Offices, the closing of and possible removal of Sunrise Elementary, CTE area upgrades, and necessary bathrooms remodeling to become ADA compliant.",1
"1872","5656","Sun Prairie Area",1994-11-08,13476000,"Issue Debt",2825,3013,"Failed","M.S.-remod or new",1
"1873","5656","Sun Prairie Area",1995-01-24,13476000,"Issue Debt",1245,2338,"Failed","M.S.-remod or new",1
"1874","5656","Sun Prairie Area",1996-05-21,20200000,"Issue Debt",2548,2036,"Passed","Q1: 2 new middle schools",1
"1875","5656","Sun Prairie Area",1996-05-21,4500000,"Issue Debt",2821,1608,"Passed","Q2: HS add & renov",1
"1876","5656","Sun Prairie Area",1998-10-06,349000,"RR",1356,1907,"Failed","exceed revenue limit, recurring, to maintain above add'n.",1
"1877","5656","Sun Prairie Area",1998-10-06,7200000,"Issue Debt",1494,1777,"Failed","add to Bird El. School; improve H.S. athletic field",1
"1878","5656","Sun Prairie Area",2004-02-17,22233000,"Issue Debt",5389,3838,"Passed","construct/equip new Elem School, addition to Patrick Marsh and Prairie View MS, HVAC improvements at Northside, Eastside, Westside Elem Schools",1
"1879","5656","Sun Prairie Area",1999-09-14,1550000,"Issue Debt",1934,1329,"Passed","renovate/improve h.s.",1
"1880","5656","Sun Prairie Area",1999-09-14,18640000,"Issue Debt",1948,1317,"Passed","construct classroom additions, remodel/renovate/improve e.s.",1
"1881","5656","Sun Prairie Area",2000-05-30,891000,"RR - 2000",1660,1395,"Passed","maintain existing student program/services, obtain instructional tech.; support operating costs",1
"1882","5656","Sun Prairie Area",2005-02-15,9530000,"Issue Debt",2400,2159,"Passed","acquire 2 parcels of land as future school sites",1
"1883","5656","Sun Prairie Area",2006-04-04,59973301,"Issue Debt",3053,5197,"Failed","construct and equp a new east side high school and related facilities",1
"1884","5656","Sun Prairie Area",2006-04-04,516565,"Issue Debt",2758,5426,"Failed","upgrade auditorium of new eastside high school to a performing arts center facility",1
"1885","5656","Sun Prairie Area",2007-02-20,14675000,"Issue Debt",2633,2160,"Passed","construct and equip a new elementary school in Smith's Crossing",1
"1886","5656","Sun Prairie Area",2007-11-06,9.6e+07,"Issue Debt",4106,3090,"Passed","build a new high school and remodel old high school into middle school",1
"1887","5656","Sun Prairie Area",2007-11-06,3325000,"Issue Debt",3422,3747,"Failed","construct and equip a swimming pool at the new high school",1
"1888","5656","Sun Prairie Area",2007-11-06,305000,"RR - 2010",3189,3989,"Failed","paying operation and maintenace costs of a swimming pool at the new high school",1
"1889","5656","Sun Prairie Area",2008-11-04,3900000,"Issue Debt",9701,8442,"Passed","construct and equip new swimming pool at new high school",1
"1890","5656","Sun Prairie Area",2008-11-04,288205,"RR - 2010",9173,8762,"Passed","paying operation and maintenance costs of a new swimming pool at the high school",1
"1891","5656","Sun Prairie Area",2016-11-08,89500000,"Issue Debt",14231,7435,"Passed","To build two new elem. schools, to purchase land and to do maintenance/operations projects in the district.",1
"1892","5656","Sun Prairie Area",2016-11-08,2800000,"RR - 2018",13700,7928,"Passed","To fund the operations of two new elem. schools on a recurring basis.",1
"1893","5656","Sun Prairie Area",2019-04-02,1.64e+08,"Issue Debt",6670,4972,"Passed","CONSTRUCTION OF NEW HIGH SCHOOL",1
"1894","5656","Sun Prairie Area",2019-04-02,5e+06,"RR - 2019",6699,4669,"Passed","To pay for staffing, operation and maintenance costs of the new high school",1
"1895","5656","Sun Prairie Area",2022-11-08,9e+06,"RR - 2022",14199,9280,"Passed","to pay for expenses related to maintaining class sizes, student services and staff compensation, providing
for substitute teacher coverage, increasing mental health services for students, and ongoing
safety and facility maintenance",1
"1896","5663","Superior",1993-04-06,13500000,"Issue Debt",5440,4432,"Passed","new elem school; add to & remodel high school",1
"1897","5663","Superior",1996-09-10,2400000,"Issue Debt",NA,NA,"Failed","capital repairs and improvements",1
"1898","5663","Superior",1999-11-02,4.7e+07,"Issue Debt",6108,2230,"Passed","new elementary and middle schools",1
"1899","5663","Superior",2016-04-05,92500000,"Issue Debt",5555,4548,"Passed","Capital building referendum",1
"1900","5670","Suring",2012-04-03,9e+05,"Issue Debt",726,252,"Passed","Roof Repair/Replacement and related maintainence",1
"1901","5670","Suring",2020-04-07,4500000,"NR - 2020",768,567,"Passed","For the purpose of paying District operation and maintenance costs and upgrades and enhancements to facilities and equipment, technology, curriculum and technical education.",1
"1902","3510","Swallow",1996-09-10,3500000,"Issue Debt",289,188,"Passed","elem add & renov",1
"1903","3510","Swallow",2004-02-17,3500000,"Issue Debt",393,346,"Passed","construct addition to Swallow Elem School and acquire furnisings, fixtures, and equipment",1
"1904","3510","Swallow",2018-11-06,8300000,"Issue Debt",912,856,"Passed","General obligation bonds in an amount not to exceed $8,300,000 for the public purpose of paying the cost of constructing and equipping replacement classrooms and instructional space; renovating the building, including classrooms, labs, restrooms and common areas; and making capital maintenance improvements.",1
"1905","5726","Thorp",2006-04-04,1420000,"Issue Debt",207,525,"Failed","For the public purpose of paying the cost of constructing and equipping an addition to the high school; and renovating, improving and upgrading other buildings and gounds in the district.",1
"1906","5726","Thorp",2007-04-03,225000,"Issue Debt",450,354,"Passed","COST OF UNIVENT REPLACEMENT",1
"1907","5726","Thorp",2017-04-04,4500000,"Issue Debt",404,290,"Passed","Operation and maintenance of existing building and construction of three building additions.",1
"1908","5726","Thorp",2017-04-04,3200000,"Issue Debt",230,456,"Failed","Construction of activity center for fine arts performances and youth athletic practices.",1
"1909","5740","Tigerton",1994-04-28,1700000,"Issue Debt",630,106,"Passed","hs upgrade, new gym, ADA imprvmts",1
"1910","5740","Tigerton",2004-04-06,115000,"Issue Debt",278,93,"Passed","reroof elementary school building ($60,000) and purchase new school bus ($55,000)",1
"1911","5740","Tigerton",2008-11-04,1980000,"Issue Debt",513,431,"Passed","various remodeling, repair, and improvement projects at the middle/high school complex; and acquiring equipment, furnishings, and fixtures",1
"1912","5747","Tomah Area",1994-09-13,1800000,"Issue Debt",1491,1558,"Failed","pool",1
"1913","5747","Tomah Area",1994-09-13,8100000,"Issue Debt",1979,1080,"Passed","add to H.S., M.S. renov",1
"1914","5747","Tomah Area",1999-09-14,980000,"Issue Debt",827,164,"Passed","partial demolition of e.s., construct & equip addition & remodel",1
"1915","5747","Tomah Area",2006-11-07,4540000,"Issue Debt",3982,2067,"Passed","Finance a school building program consisting of an eight classroom addition at the LaGrange Elementary, constructing a lunchroom addition to and remodeling band and science classrooms at the high school; and the purchasing of Western Technical College building.",1
"1916","5747","Tomah Area",2006-11-07,3e+05,"RR - 2007",3471,2510,"Passed","Referendum to Exceed revenue limit for additional costs related to school additions and new facilities",1
"1917","5747","Tomah Area",2014-04-01,2550000,"NR - 2014",1505,1530,"Failed","Sustaining educational programs and to maintain current levels of operational expenses.",1
"1918","5754","Tomahawk",1997-05-10,8900000,"Issue Debt",NA,NA,"Failed","building repairs",1
"1919","5754","Tomahawk",1999-11-02,15295000,"Issue Debt",1447,1704,"Failed","construct and equip additions to existing buildings",1
"1920","5754","Tomahawk",1999-11-02,65000,"RR - 2002",1350,1780,"Failed","operation, maintenance, staffing of new bldng additions",1
"1921","5754","Tomahawk",2000-04-04,10800000,"Issue Debt",1912,1687,"Passed","construct/equip addition to and remodel existing bldng",1
"1922","0126","Tomorrow River",2001-04-03,7595000,"Issue Debt",780,994,"Failed","construction and remodeling",1
"1923","0126","Tomorrow River",2002-04-02,4400000,"Issue Debt",567,645,"Failed","repairing, remodeling, improving existing school facilities and systems; provide handicapped access; provide improved air quality; enhance health, safety and security of facilities; construct connection between school facilities and related equipment",1
"1924","0126","Tomorrow River",2002-07-09,2485000,"Issue Debt",794,649,"Passed","repairing, remodeling, improving existing school facilities and systems; provide handicapped access; provide improved air quality; and upgrade heating and ventilation and acquire equipment and upgrade technology",1
"1925","0126","Tomorrow River",2002-07-09,1915000,"Issue Debt",591,840,"Failed","remodeling, improving and expanding existing facilities and systems, improving safety and security and acquire equipment and technology",1
"1926","0126","Tomorrow River",2006-02-21,1750000,"NR - 2006",548,393,"Passed","5 year renewal of $350,000 for non-recurring",1
"1927","0126","Tomorrow River",2010-04-06,11900000,"Issue Debt",638,814,"Failed","adding to, repairing, remodeling, renovating, and improving existing school facilities; developing school sites; acquiring related equipment; and improving adjacent infrastructure, including roads, utilities, sidewalks, water mains and storm sewers",1
"1928","0126","Tomorrow River",2010-11-02,2050000,"NR - 2011",1007,1149,"Failed","5 Year Renewal for Non Recurring Purposes",1
"1929","0126","Tomorrow River",2011-04-05,1750000,"NR - 2011",1158,767,"Passed","5 Year Renewal for Non Recurring Purposes",1
"1930","0126","Tomorrow River",2012-11-06,8500000,"Issue Debt",1824,1034,"Passed","Constructing and furnishing additional classrooms and a production kitchen/cafeteria. Renovating middle school locker room. Site improvements to include a fire lane/bus loop and fixing draining issues. Acquiring adjoining properties.",1
"1931","0126","Tomorrow River",2022-04-05,21300000,"Issue Debt",1047,737,"Passed","Construction of additions for science, technology, art, general, agricultural science and technical education classrooms, administrative and support spaces; renovations of existing spaces, safety and security improvements; infrastructure replacements/upgrades; acquisition of related furnishings, fixtures and equipment.",1
"1932","0126","Tomorrow River",2022-04-05,4400000,"Issue Debt",1109,670,"Passed","Renovations to school building to update middle school classrooms, family and consumer science and library spaces; infrastructure replacements/upgrades; and acquisition of related furnishings, fixtures and equipment.",1
"1933","5780","Trevor-Wilmot Consolidated",2009-11-03,11380000,"Issue Debt",231,219,"Passed","For the purpose of paying the cost of constructing a primary addition to and remodeling and renovation projects at Trevor School: making related site improvements; and acquiring furnishings, fixtures and equipment.",1
"1934","5780","Trevor-Wilmot Consolidated",2022-04-05,4e+06,"NR - 2022",469,362,"Passed","Operational referendum to exceed Revenue Limit by $800,000 on a non-recurring basis for five years for purposes of maintaining current class sizes, educational programs and services, and meeting current district expenses.",1
"1935","4375","Tri-County Area",2001-11-06,8700000,"Issue Debt",231,655,"Failed","renovating and constructing additions to ES, MS, HS including site improvement, acquiring furnishings and equipment, land purchase, develop playgrounds and athletic fields; architectural and engineering fees, bond issuance costs.",1
"1936","4375","Tri-County Area",2007-04-03,1423000,"RR - 2007",351,630,"Failed","For the recurring costs associated with general operations, including the maintenance of educational programs and facilities of the District.",1
"1937","5810","Turtle Lake",1994-02-15,5525000,"Issue Debt",528,425,"Passed","new K-8",1
"1938","5810","Turtle Lake",1999-04-06,986000,"Issue Debt",269,341,"Failed","tech/ag education additionto h.s. & remodeling",1
"1939","5810","Turtle Lake",2000-09-12,3900000,"Issue Debt",368,414,"Failed","remodel/renovating and construct addition to HS and elem school/furnishings, furniture and equipment",1
"1940","5810","Turtle Lake",2006-11-07,1920000,"Issue Debt",750,378,"Passed","remodeling and improvement projects at Turtle Lake schools and acquire equipment",1
"1941","5810","Turtle Lake",2012-04-03,2241000,"NR - 2012",434,540,"Failed","To exceed revenue limit for operating capital.",1
"1942","5810","Turtle Lake",2012-11-06,1785000,"NR - 2012",900,802,"Passed","To Exceed Revenue Cap - Non-Recurring for Operating Expenses consisting of ongoing educational and facilities expenses",1
"1943","5817","Twin Lakes #4",2000-11-07,1350000,"Issue Debt",691,374,"Passed","prepare site; construct/equip 4 classrooms, kitchen, lunchroom at Lakewood School;architectural/engineering/bond issuance costs",1
"1944","5817","Twin Lakes #4",2000-11-07,450000,"Issue Debt",618,417,"Passed","construct addition to and renovate instructional media center at Lakewood School",1
"1945","5817","Twin Lakes #4",2014-05-20,5990000,"Issue Debt",341,100,"Passed","Paying for the cost of improvements at the District building",1
"1946","5824","Two Rivers",1997-05-06,23685000,"Issue Debt",NA,NA,"Failed","new building, additions and remodeling",1
"1947","5824","Two Rivers",1998-02-17,15737000,"Issue Debt",1335,2293,"Failed","remodel Washington High or",1
"1948","5824","Two Rivers",1998-02-17,19635000,"Issue Debt",1552,2241,"Failed","construct new Washington High",1
"1949","5824","Two Rivers",1998-02-17,895000,"Issue Debt",2255,1515,"Passed","remodel middle school",1
"1950","5824","Two Rivers",1998-02-17,5170000,"Issue Debt",2489,1311,"Passed","remodel elem school",1
"1951","5824","Two Rivers",1998-11-03,19635000,"Issue Debt",2783,3073,"Failed","new high school",1
"1952","5824","Two Rivers",1999-10-12,16595000,"Issue Debt",1017,2758,"Failed","construct h.s. addition, remodel/renovate phy ed unit",1
"1953","5824","Two Rivers",2000-04-04,19880000,"Issue Debt",2925,2579,"Passed","construct, equip new H.S. facility including site and utility work",1
"1954","5824","Two Rivers",2000-04-04,18770000,"Issue Debt",2348,3071,"Failed","demolition work, construct addition/remodel/renovate Washington H.S., acquire furnishings, fixtures, equipment",1
"1955","5824","Two Rivers",2016-11-08,3715000,"Issue Debt",4019,1750,"Passed","Referendum for upgrades and remodeling throughout the district.",1
"1956","5824","Two Rivers",2022-11-08,38700000,"Issue Debt",3190,1894,"Passed","Facility addition at LB Clarke Middle School, renovations and district wide improvements to security, technology, sites, building systems and playgrounds.",1
"1957","5859","Union Grove J1",2001-04-03,10500000,"Issue Debt",658,387,"Passed","construct and equip new k-5 building",1
"1958","5859","Union Grove J1",1999-09-14,260000,"Issue Debt",194,87,"Passed","acquire land & construct/equip maintenance bldg.",1
"1959","5859","Union Grove J1",2018-11-06,7995000,"Issue Debt",1496,882,"Passed","Academic addition, remodeling, building infrastructure, IT upgrades and capital maintenance improvements, reconfiguration of learning spaces, and acquisition of related furnishings, fixtures and equipment.",1
"1960","5852","Union Grove UHS",2000-04-04,780000,"Issue Debt",1075,791,"Passed","replace roofs, replace football/baseball bleachers, construct new press box/concession stand, install hallway security system, phone system, replace exhaust fans",1
"1961","5852","Union Grove UHS",2010-09-14,1420000,"Issue Debt",1205,1517,"Failed","repair school site to improve draginage; replace track; improve the athletic field and replace with artificial turf",1
"1962","5852","Union Grove UHS",2010-09-14,320000,"Issue Debt",1662,1006,"Passed","renovating and improving the science classrooms and labs.",1
"1963","5852","Union Grove UHS",2012-05-15,1895000,"Issue Debt",970,868,"Passed","cost of repairing and upgrading the school site to improve drainage; replacing the track; improving the athletic field and replacing the natural turf with artificial turf; and acquiring and installing additional bleachers and replacing lighting",1
"1964","5852","Union Grove UHS",2017-11-07,7850000,"Issue Debt",789,728,"Passed","Construction of an agricultural building and greenhouse on land owned by the District; remodeling and renovations in the technology education department; improvements to the science classrooms and conversation of a general classroom to a science classroom; construction of an addition for a wellness center with 3 or 4 classrooms located above the wellness center for future expansion; related site improvements; capital and building infrastructure improvements and repairs, acquisition of furnishing, fixtures and equipment.",1
"1965","0238","Unity",1994-10-18,4875000,"Issue Debt",574,451,"Passed","add & remod",1
"1966","0238","Unity",1997-08-19,4400000,"Issue Debt",356,270,"Passed","add to & remodel middle school; remodel elem. school",1
"1967","0238","Unity",2015-04-07,18035000,"Issue Debt",551,706,"Failed","Paying the cost of constructing an auditorium gymnasium addition and science classroom additions to the high school renovating District building entrances for security and saftey purposes reconfiguring bus drop off and parking space zones making facility infrastructure renovations and acquiring related fixtures furnishings and equipment",1
"1968","0238","Unity",2015-11-03,17495000,"Issue Debt",691,550,"Passed","Issue debt for the purpose of paying the cost of renovating and replacing mechanical and infrastructure in the school buildings; constructing science classrooms addition; remodeling and updating existing building; constructing an auditorium and gymnasium addition; improvements to the grounds; and acquiring related fixtures, furnishings and equipment.",1
"1969","5866","Valders Area",1996-09-10,3600000,"Issue Debt",1023,612,"Passed","addition & remodel el and ms",1
"1970","5866","Valders Area",2001-05-22,12720000,"Issue Debt",769,993,"Failed","addition/renovations to existing facilities; site improvements; acquire furnishings/equipment; major repairs; purchase land for playfields; issuance and bond related costs",1
"1971","5866","Valders Area",2001-05-22,250000,"RR - 2002",666,1086,"Failed","maintain educational programs and facilities",1
"1972","5866","Valders Area",2002-04-02,11300000,"Issue Debt",1207,916,"Passed","additions and renovations to existing facilities including site improvements, furnishings/equipment, architectural/engineering/bond issuance",1
"1973","5866","Valders Area",2018-04-03,6375000,"Issue Debt",949,737,"Passed","The project is to repair and upgrade roofing, plumbing, HVAC, and bond issuance.",1
"1974","5866","Valders Area",2023-04-04,9900000,"Issue Debt",1238,1171,"Passed","Updates and repairs to MS/HS; building expansion",1
"1975","5901","Verona Area",1998-02-17,10040000,"Issue Debt",1508,2430,"Failed","new elementary school; remodel old elem, into high school",1
"1976","5901","Verona Area",1998-02-17,260000,"Issue Debt",1620,2307,"Failed","add to Sugar Creek school gym",1
"1977","5901","Verona Area",1998-02-17,11570000,"Issue Debt",1639,2305,"Failed","new middle school",1
"1978","5901","Verona Area",1999-02-16,19435000,"Issue Debt",2501,2852,"Failed","2 el. Schools; remodel 2 old e.s; buy land; add gym",1
"1979","5901","Verona Area",2002-09-10,975000,"RR - 2002",NA,NA,"Cancelled","teacher salaries, extra curricular activities, roofing and long-range maintenance costs",1
"1980","5901","Verona Area",1999-06-08,13770000,"Issue Debt",2302,2149,"Passed","new es;add gym to es; remodel 2 es & hs sci labs",1
"1981","5901","Verona Area",1995-01-24,1300000,"Issue Debt",1047,619,"Passed","dist-wide wiring and tech inprv, new computers",1
"1982","5901","Verona Area",1995-01-24,7850000,"Issue Debt",1117,553,"Passed","new elem",1
"1983","5901","Verona Area",1997-11-04,21875000,"Issue Debt",1114,1298,"Failed","new midd. school, elem school, remodel elem school",1
"1984","5901","Verona Area",2005-02-15,17985000,"Issue Debt",1846,1325,"Passed","acquire land, construct new elementary school and related site work, construct addition to and remodel and renovate Stoner Prairie Elementary school, infrastructure improvements, and furnishings, fixtures, equipment",1
"1985","5901","Verona Area",2015-04-07,8350000,"Issue Debt",3274,1704,"Passed","Paying the cost of acquiring land by purchase or by eminent domain.",1
"1986","5901","Verona Area",2017-04-04,162760000,"Issue Debt",5073,1906,"Passed","Construction of new high school and auditorium, renovation and reconfiguration of current Verona Area High School and Badger Ridge Middle School, district-wide capital and building infrastructure improvements and repairs and acquisition of related furnishings, fixtures and equipment.",1
"1987","5901","Verona Area",2017-04-04,18520000,"Issue Debt",4220,2729,"Passed","Construction and equipping of a swimming pool, competition athletic fields and related facilities on the new high school site.",1
"1988","5901","Verona Area",2017-04-04,2289747,"RR - 2020",4537,2408,"Passed","Exceed the revenue limit by $2,289,747 for the 2020-2021 school year and thereafter for recurring purposes consisting of operational expenses for new district facilities and grounds.",1
"1989","5901","Verona Area",2022-11-08,1.9e+07,"RR - 2022",10662,4597,"Passed","Exceed the revenue limit by $19,000,000 for the 2022-2023 school year and thereafter, for recurring purposes consisting of expenses related to ongoing educational programming, maintaining and supporting instructional and extracurricular programs, and paying salary and other operational expenses.",1
"1990","5985","Viroqua Area",1994-05-12,6300000,"Issue Debt",1200,600,"Passed","new K-4 & adm",1
"1991","5985","Viroqua Area",1998-11-03,4235000,"Issue Debt",1291,1759,"Failed","add  to & remodel high school; auditorium",1
"1992","5985","Viroqua Area",1999-05-25,11965000,"Issue Debt",643,1400,"Failed","add to hs; remodel hs, ms & es; auditorium & pool, hs",1
"1993","5985","Viroqua Area",1999-12-07,1600000,"Issue Debt",692,715,"Failed","swimming pool project",1
"1994","5985","Viroqua Area",2000-05-23,1600000,"Issue Debt",602,1325,"Failed","construct/equip indoor swimming pool at Viroqua Middle School",1
"1995","5985","Viroqua Area",2004-11-02,9890000,"Issue Debt",2403,1780,"Passed","school building improvement program, consisting of remodeling, improving, and updating middle school and high school and constructing improvements to the district's bus garage",1
"1996","5985","Viroqua Area",2015-04-07,1750000,"NR - 2015",936,473,"Passed","Exceed revenue cap for educational programming and maintaining district facilities.",1
"1997","5985","Viroqua Area",2020-04-07,2750000,"NR - 2020",1327,1269,"Passed","Exceed Revenue Cap for educational and maintaining district facilities.",1
"1998","5992","Wabeno Area",1997-04-22,3e+06,"Issue Debt",424,276,"Passed","addition & remodeling high school",1
"1999","6022","Walworth J1",1997-10-21,4200000,"Issue Debt",414,209,"Passed","add to and remodel school; technology equipment",1
"2000","6027","Washburn",1998-04-07,2050000,"Issue Debt",731,365,"Passed","add to & remodel e.s & ms/hs& technology resources",1
"2001","6069","Washington",2002-04-02,50000,"NR",196,203,"Failed","fuel tank testing; closure and replacement costs",1
"2002","6069","Washington",2008-04-01,75000,"NR - 2008",286,129,"Passed","providing funds for roof replacement",1
"2003","6069","Washington",2015-04-07,1139149,"NR - 2015",246,141,"Passed","For operational expenses as well as replacing certain windows and carpeting.",1
"2004","6104","Washington-Caldwell",2002-04-02,3400000,"Issue Debt",139,295,"Failed","remodel, renovate, expansion at Washington ES",1
"2005","6104","Washington-Caldwell",2003-04-01,3200000,"Issue Debt",210,371,"Failed","building remodeling and the purchase of land at Washington Elementary School",1
"2006","6104","Washington-Caldwell",2005-11-08,1461437,"Issue Debt",183,256,"Failed","Building and remodeling",1
"2007","6104","Washington-Caldwell",2023-04-04,1400000,"NR - 2023",386,445,"Failed","Operational  - to maintain current class sizes, sustain the current level of educational programming and support the day-to-day operations of the school district.",1
"2008","6104","Washington-Caldwell",2023-04-04,2500000,"Issue Debt",454,381,"Passed","Facility upgrades and improvements at school including updates to safety and security  and the boiler and heating, ventilating and air conditioning (HVAC) systems.",1
"2009","6113","Waterford Graded",1999-10-12,17500000,"Issue Debt",1171,1013,"Passed","construct 2 e.s., remodel m.s., acquire equip",1
"2010","6113","Waterford Graded",1998-09-08,18220000,"Issue Debt",821,953,"Failed","two elementary schools; add to middle school",1
"2011","6113","Waterford Graded",1998-11-03,18220000,"Issue Debt",1959,2057,"Failed","two elementary schools; remodel m.s & old e.s.",1
"2012","6113","Waterford Graded",1999-02-16,10500000,"Issue Debt",1033,1069,"Failed","new e.s; upgrade 2 school bldgs for code compliance",1
"2013","6113","Waterford Graded",2018-11-06,24900000,"Issue Debt",4124,3010,"Passed","Renovation and remodel of middle school and security upgrades district wide.",1
"2014","6083","Waterford UHS",1994-02-15,9900000,"Issue Debt",687,1393,"Failed","raise part & renovate HS",1
"2015","6083","Waterford UHS",1994-11-08,785000,"Issue Debt",1855,2518,"Failed","new gym",1
"2016","6083","Waterford UHS",1994-11-08,6540000,"Issue Debt",1994,2471,"Failed","13 clsrm add, remod, razing section",1
"2017","6083","Waterford UHS",1995-06-13,9750000,"Issue Debt",937,1224,"Failed","80,000 sq ft add & gym, raze annex section, ADA",1
"2018","6083","Waterford UHS",1996-03-19,9750000,"Issue Debt",2784,1489,"Passed","clsrm add, remod,renov, razing section",1
"2019","6083","Waterford UHS",2000-05-23,9650000,"Issue Debt",596,561,"Passed","acquire/renovate/remodel/asbestos abate. At Maple View Elem. School; addition including auditorium, expand commons/cafeteria, improve phy ed fields including site improvements/landscaping; bond issuance costs and architect fees",1
"2020","6083","Waterford UHS",2016-04-05,12210000,"Issue Debt",2793,3605,"Failed","FIELD HOUSE AND FITNESS CENTER CONSTRUCTION",1
"2021","6083","Waterford UHS",2017-02-21,12210000,"Issue Debt",1832,2202,"Failed","Construction of a Field House/Fitness Center Addition to Existing High School",1
