"District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref","op_ref"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5100","Sauk Prairie",2020-04-07,"64985000","Issue Debt",3591,2338,"Passed","Paying the cost of school buildings renovations, outdoor facilities and improvement programs",1,NA
"5124","Seneca",2000-11-07,"6980000","Issue Debt",338,503,"Failed","new K-12 building including site work, furnishings/fixtures/equipment",1,NA
"5124","Seneca",2001-09-11,"7400000","Issue Debt",209,342,"Failed","acquire land, construct new K12 bldng including site work, furnishings, fixtures and equipment",1,NA
"5124","Seneca",2001-09-11,"6e+05","RR",260,281,"Failed","non-recurring purposes",NA,NA
"5124","Seneca",2001-11-06,"625000","NR",283,148,"Passed","non-recurring purposes",NA,NA
"5124","Seneca",2003-02-18,"7100000","Issue Debt",341,401,"Failed","acquire land, construct new PK school facility including site work, acquire equipment, furnishings, fixtures",1,NA
"5124","Seneca",2003-05-13,"180000","NR",83,216,"Failed","maintaining operation of South Elementary School",1,NA
"5124","Seneca",2004-04-06,"1875000","NR - 2004",326,215,"Passed","operational purposes",NA,1
"5124","Seneca",2008-11-04,"8e+05","RR - 2009",549,360,"Passed","maintaining, increasing, and improving instructional materials, programs, and staff, replacing technology equipment, updating facility equipment and maintaining the current school district facilities",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5130","Sevastopol",2008-04-01,"1800000","NR - 2008",1224,351,"Passed","To cover capital improvements, maintenance projects, safety upgrades, and instructional needs.",1,NA
"5130","Sevastopol",2011-04-05,"1700000","NR - 2011",1455,546,"Passed","For non-recurring purposes consisting of maintaining educational programs and the facilities of the District.",1,NA
"5130","Sevastopol",2013-04-02,"4250000","NR - 2013",979,389,"Passed","Operating purposes.",NA,1
"5130","Sevastopol",2015-04-07,"4500000","NR - 2016",1009,377,"Passed","Non-recurring operating purposes.",NA,1
"5130","Sevastopol",2018-11-06,"25100000","Issue Debt",1866,1153,"Passed","EXCEED REVENUE LIMIT BY $25,100,000.00 FOR THE THE PURPOSE OF NEW CONSTRUCTION AND EXISTING BUILDING RENOVATIONS.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5130","Sevastopol",2018-11-06,"4e+06","NR - 2019",2086,936,"Passed","Exceed revenue limit by $2,000,000 per year for 2 years.",NA,NA
"5130","Sevastopol",2020-11-03,"8e+06","NR - 2021",1928,1519,"Passed","Exceed revenue limit by $2,000,000 per year for four years.",NA,NA
"5138","Seymour Community",1999-02-16,"3950000","Issue Debt",929,420,"Passed","school building",NA,NA
"5138","Seymour Community",2002-04-02,"1.2e+07","Issue Debt",1091,1382,"Failed","construct new Seymour Primary Center and addition to Black Creek School; upgrade and improve Black Creek and Rock Ledge schools; equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5138","Seymour Community",2002-04-02,"6e+05","RR - 2002",997,1462,"Failed","recurring purposes",NA,NA
"5138","Seymour Community",1996-10-10,"3815000","Issue Debt",1382,955,"Passed","aquatic center",1,NA
"5138","Seymour Community",1996-10-10,"4160000","Issue Debt",1414,907,"Passed","athletic center",1,NA
"5138","Seymour Community",2007-02-20,"150000","RR - 2007",1637,556,"Passed","operational and maintenance costs at Rock Ledge Elementary School and Black Creek Elementary/Middle School",NA,1
"5138","Seymour Community",2007-02-20,"9900000","Issue Debt",1685,521,"Passed","constructing additions to and renovating the existing facilities at Rock Ledge Elementary School and Black Creek Elementary/Middle School; and acquiring equipment, furnishings and fixtures",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5138","Seymour Community",2017-04-04,"1860000","RR - 2017",847,634,"Passed",NA,NA,NA
"5138","Seymour Community",2021-04-06,"6550000","Issue Debt",1372,571,"Passed","Technology Education Addition and renovation as well as improvements to site at middle school and high school.",1,NA
"5258","Sharon J11",2010-04-06,"5980000","Issue Debt",224,143,"Passed","Paying the cost of repair, replacement and improvement projects and acquiring equipment and furnishings",1,NA
"5264","Shawano",1995-11-07,"1250000","Issue Debt",2707,2471,"Passed","Q 2:  pool at new hs",1,NA
"5264","Shawano",1995-11-07,"18400000","Issue Debt",3486,1793,"Passed","Q 1:  new 250000 sq ft hs, remod",1,NA
"5264","Shawano",2008-09-09,"24900000","Issue Debt",2181,1821,"Passed","construction project",1,NA
"5264","Shawano",2015-11-03,"9250000","Issue Debt",1340,717,"Passed","MS Remodel Project",1,NA
"5271","Sheboygan Area",1994-06-04,"11600000","Issue Debt",3369,7302,"Failed","new M.S.",1,NA
"5271","Sheboygan Area",1994-06-04,"2800000","Issue Debt",4755,5904,"Failed","renovation M.S.",1,NA
"5271","Sheboygan Area",1994-06-04,"990000","Issue Debt",4816,5848,"Failed","renovation M.S.",1,NA
"5271","Sheboygan Area",1994-06-04,"7900000","Issue Debt",5169,5508,"Failed","renovation M.S.",1,NA
"5271","Sheboygan Area",1996-02-06,"2430000","Issue Debt",4033,2852,"Passed","Q 3:  remod & add to North H.S.",1,NA
"5271","Sheboygan Area",1996-02-06,"2585000","Issue Debt",4115,2775,"Passed","Q 4:  remod & add to South H.S..",1,NA
"5271","Sheboygan Area",1996-02-06,"2968000","Issue Debt",4319,2598,"Passed","Q 2:  remod & add to Urban M.S.",1,NA
"5271","Sheboygan Area",1996-02-06,"6842000","Issue Debt",4915,2088,"Passed","Q 1:  remod & add to Farnsworth M.S.",1,NA
"5271","Sheboygan Area",2004-11-02,"3.2e+07","Issue Debt",18028,10770,"Passed","cost of demolishing a part of and adding to and equipping Jefferson elementary and constructing new athletic facilities at North and South High schools and related renovations, remodel, equipment",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5271","Sheboygan Area",2016-11-08,"2.9e+07","Issue Debt",18357,6426,"Passed","Authorizing General Obligation Bonds in an amount not to exceed $29,000,000 for capital improvements and building maintenance.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5278","Sheboygan Falls",1997-10-07,"14100000","Issue Debt",1026,1706,"Failed","new elementary and remodel ms",1,NA
"5278","Sheboygan Falls",1997-10-07,"2e+06","Issue Debt",1303,1428,"Failed","community swimming pool",1,NA
"5278","Sheboygan Falls",1998-11-03,"9980000","Issue Debt",2318,1710,"Passed","new elementary school",1,NA
"5278","Sheboygan Falls",1998-11-03,"2e+06","Issue Debt",2379,1600,"Passed","indoor swimming pool",1,NA
"5278","Sheboygan Falls",2006-04-04,"21475000","Issue Debt",508,3366,"Failed","New Middle School and Major Maintenance Projects",1,NA
"5278","Sheboygan Falls",2007-04-03,"895000","Issue Debt",1259,963,"Passed","Elementary School Addition",NA,NA
"5278","Sheboygan Falls",2007-04-03,"2700000","Issue Debt",1314,908,"Passed","Extraordinary Maintenance at all school district buildings.",NA,NA
"5278","Sheboygan Falls",2013-04-02,"33800000","Issue Debt",1336,1966,"Failed","Acquiring Land, Construct a new Middle School, Construct an early learning addition to the Elementary School, Long Term Capital Maintenance projects, Safety, Energy Improvements",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5278","Sheboygan Falls",2014-04-01,"27600000","Issue Debt",1627,1966,"Failed","Construct a new Middle School, Taking down the existing Middle School, Construct 4K classrooms to the Elementary School, Long Term Capital Maintenance projects, Energy Improvements",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5278","Sheboygan Falls",2014-04-01,"2600000","Issue Debt",1402,2151,"Failed","Build an auditorium in the new middle school.",1,NA
"5278","Sheboygan Falls",2016-11-08,"30900000","Issue Debt",4125,2406,"Passed","Issue debt for the cost of constructing a new middle school, taking down the existing middle school and capital replacement projects.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5306","Shell Lake",1991-09-17,"4e+06","Issue Debt",848,451,"Passed",NA,NA,NA
"5306","Shell Lake",2007-04-03,"3250000","NR - 2007",577,304,"Passed","paying the cost of district operating expenses",NA,1
"5306","Shell Lake",2018-04-03,"12200000","Issue Debt",736,376,"Passed","Referendum for addition of 4K-2nd grade addition to our current school.",NA,NA
"5306","Shell Lake",2018-04-03,"3500000","Issue Debt",694,412,"Passed","Resolution to build a new gymnasium",1,NA
"5348","Shiocton",1994-04-05,"325000","Issue Debt",475,146,"Passed","purchase computers and software",NA,NA
"5348","Shiocton",1994-12-06,"7100000","Issue Debt",578,191,"Passed","remod & expand k-12",1,NA
"5348","Shiocton",1998-05-05,"160000","RR",108,105,"Passed","exceed rev limits,98-99 for recurring purposes",NA,NA
"5348","Shiocton",2006-09-12,"1481679","NR - 2006",523,468,"Passed","To maintain existing educational programs",1,NA
"5348","Shiocton",2010-02-16,"3200000","NR - 2010",426,418,"Passed","Operating costs",NA,1
"5348","Shiocton",2015-02-17,"3212169","NR - 2015",507,173,"Passed","Operational Costs",NA,1
"5348","Shiocton",2018-02-20,"3100000","NR - 2018",578,220,"Passed","Operational referendum",NA,1
"5348","Shiocton",2018-02-20,"2e+06","Issue Debt",532,262,"Passed","Multi-purpose facility: constructing, equipping",1,NA
"5348","Shiocton",2021-02-16,"5100000","NR - 2021",312,139,"Passed","Operational referendum",NA,1
"5355","Shorewood",1992-02-18,"8600000","Issue Debt",2360,1410,"Passed",NA,NA,NA
"5355","Shorewood",2002-04-02,"5200000","Issue Debt",2096,680,"Passed","building and equipping a science addition to HS and maintaining, improving and equipping existing school facilities",1,NA
"5355","Shorewood",2008-04-01,"9650000","Issue Debt",2433,1013,"Passed","To maintain, equip, and remodel district buildings and grounds.",1,NA
"5355","Shorewood",2011-04-05,"13645000","Issue Debt",3231,1867,"Passed","To refinance the debt issued to finance the District's contributions to WRS; and funding the cost of other post employment benefits.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5355","Shorewood",2019-04-02,"6.5e+07","Issue Debt",3025,1961,"Passed","Improved safety and security (District-wide), ADA accessibility upgrades (District-wide), renovations and updates at the main academic high school building, targeted renovations at elementary buildings.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5355","Shorewood",2019-04-02,"275000","RR - 2019",3288,1666,"Passed","$275k recurring for district-wide facility maintenance costs",NA,NA
"5355","Shorewood",2023-04-04,"27500000","NR - 2023",2620,924,"Passed","Operational and maintenance expenses, including salaries, benefits and instructional and extra-curricular programming",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5362","Shullsburg",1994-05-03,"5950000","Issue Debt",370,669,"Failed","new K-12 & site",1,NA
"5362","Shullsburg",1994-12-27,"5200000","Issue Debt",354,243,"Passed","add to K-12",1,NA
"5362","Shullsburg",2001-04-03,"744000","NR",250,505,"Failed","non-recurring purposes",NA,NA
"5362","Shullsburg",2012-05-08,"1375000","Issue Debt",271,196,"Passed","roof replacement",1,NA
"5362","Shullsburg",2018-04-03,"4e+05","RR - 2018",517,125,"Passed","Exceed the revenue cap on a recurring basis beginning in the 2018-19 school year for operational expenses, deferred maintenance projects and curriculum improvements.",1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5369","Silver Lake J1",1997-05-20,"3895000","Issue Debt",295,170,"Passed","adding to and remodeling school facilities",1,NA
"5369","Silver Lake J1",2001-06-05,"250000","RR - 2001",72,146,"Failed","recurring purposes",NA,NA
"5369","Silver Lake J1",2023-04-04,"2400000","NR - 2023",618,633,"Failed","Non-Recurring Operational Referendum  to exceed the revenue limit specified in Section 121.91,
Wisconsin Statutes, by $800,000 per year for three years, beginning with the 2023-2024 school
year and ending with the 2025-2026 school year, for non-recurring purposes consisting of
operational and maintenance expenses.",NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5376","Siren",1998-11-03,"125000","NR",454,600,"Failed","exceed rev cap, non-recurrring; 99-00 to 03-04 for op. costs",NA,NA
"5376","Siren",1998-11-03,"7710000","Issue Debt",575,505,"Passed","add and remodel facilities; equipment & technology",1,NA
"5376","Siren",1999-04-06,"625000","NR - 1999",263,221,"Passed","exceed rev caps, non-recur, 99-00 thru 03-04, op costs",NA,NA
"5376","Siren",2004-02-17,"250000","RR - 2004",238,299,"Failed","maintain current levels of expenditures and operations",1,NA
"5376","Siren",2004-04-06,"1250000","NR - 2004",349,326,"Passed","maintain current levels of programs and operations",1,NA
"5376","Siren",2009-02-17,"1250000","NR - 2009",156,167,"Failed","sustaining operating expenses with which to maintain the current level of operations",1,1
"5376","Siren",2009-04-07,"150000","RR - 2009",234,418,"Failed","meeting the operating expense requirements to properly operate and maintain its educational facilities",1,1
"5376","Siren",2014-04-01,"1250000","NR - 2014",146,249,"Failed","to maintain current levels of programs and operations.",1,NA
"5376","Siren",2015-04-07,"1200000","NR - 2015",256,361,"Failed","To maintain current levels of educational programming, expenditures and operations.",1,NA
"5376","Siren",2019-04-02,"4e+06","Issue Debt",440,233,"Passed","Paying the cost of capital improvement, safety and security upgrades.",1,NA
"5376","Siren",2019-04-02,"2e+06","Issue Debt",333,336,"Failed","Paying cost of construction of a new athletic field and track.",1,NA
"5376","Siren",2020-04-07,"9e+05","NR - 2020",430,370,"Passed","OPERATING REFERENDUM",NA,1
"5376","Siren",2023-04-04,"1200000","NR - 2024",555,467,"Passed","Operating Referendum",NA,1
"5376","Siren",2023-04-04,"5e+06","Issue Debt",483,543,"Failed","Construction of Playground, Track, Football field",1,NA
"5390","Slinger",1993-09-14,"9800000","Issue Debt",1731,1160,"Passed",NA,NA,NA
"5390","Slinger",1996-09-10,"8850000","Issue Debt",1895,857,"Passed","addition & renovation to high school",1,NA
"5390","Slinger",2000-11-07,"16900000","Issue Debt",4058,2715,"Passed","remodel elem. Facilities and new construction for elementary",1,NA
"5390","Slinger",2016-02-16,"32400000","Issue Debt",1931,1202,"Passed","To pay for the cost of school building renovations, updates, and programming improvements for the entire District.",1,NA
"5390","Slinger",2016-02-16,"9880000","Issue Debt",1621,1488,"Passed","To pay for the cost of constructing a new auditorium at the High School and make improvements that allow for dedicated athletic spaces for the High School.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5397","Solon Springs",1992-05-19,"3e+06","Issue Debt",428,160,"Passed",NA,NA,NA
"5397","Solon Springs",2000-04-04,"240828","RR - 2000",115,457,"Failed","operation & maintenance costs",NA,NA
"5397","Solon Springs",2000-11-07,"1710000","Issue Debt",483,638,"Failed","construction/remodeling additional classrooms in elem school",1,NA
"5397","Solon Springs",2000-11-07,"567000","NR",412,699,"Failed","operating expenses",NA,1
"5397","Solon Springs",2001-04-03,"1730400","Issue Debt",317,385,"Failed","construction/remodeling of additional classrooms in elementary portion of school building",1,NA
"5397","Solon Springs",2016-04-05,"5e+05","RR - 2016",841,291,"Passed","For the purpose of maintaining current educational programming,expenditures, and operations",1,NA
"5432","Somerset",1993-12-06,"7970000","Issue Debt",606,476,"Passed","new H.S.",1,NA
"5432","Somerset",2000-02-15,"13717537","Issue Debt",617,143,"Passed","construct & equip new e.s.; add to, remodel & equip m.s.",1,NA
"5432","Somerset",2005-04-05,"29500000","Issue Debt",456,1704,"Failed","acquire land, construct and equip new high school and new elementary school and add to, remodel, and improve existing schools.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2005-08-09,"1455000","Issue Debt",409,430,"Failed","Land Acquisition Bonds",NA,NA
"5432","Somerset",2006-04-04,"2965000","Issue Debt",809,878,"Failed","PAYING THE COST OF ACQUIRING LAND AND COST OF CONSTRUCTING AND EQUIPPING ADDITIONS TO THE ELEMENTARY AND HIGH SCHOOLS",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2006-04-04,"1500000","Issue Debt",886,798,"Passed","acquire land",1,NA
"5432","Somerset",2008-04-01,"35434000","Issue Debt",468,1466,"Failed","paying the cost of constructing a new high school facility; upgrading the middle school kitchen and HVAC system; converting existing buildings to accommodate different grade levels; improving sites and roadways; and acquiring equipment, furnishings and fixtures",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2013-04-02,"7950000","Issue Debt",675,512,"Passed","The public purpose of paying the cost of construcitng additions to and remodeling and renovation projects at the high school building and site; replacement, remodeling and improvement projects at the middle school; and acquiring equipment, furnishings and fixtures.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2016-04-05,"4298000","NR - 2016",937,1314,"Failed","Authorize to",NA,NA
"5432","Somerset",2019-04-02,"28600000","Issue Debt",1026,703,"Passed","GO Bonds not to exceed $28,600,000.00 for capital maintenance improvements, safety and security, including site improvements and facility updates.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2019-04-02,"1e+06","RR - 2019",1043,688,"Passed","Exceed revenue limit by $1,000,000.00 beginning in 2019-20 for the purposes of district operation and maintenance expenses.",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2022-11-08,"25500000","Issue Debt",2041,2166,"Failed","Construction of Auditorium, improvements to stadium, track & field, renovating building systems and capital maintenance at ES",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5432","Somerset",2022-11-08,"1.1e+07","Issue Debt",2051,2126,"Failed","Construction of HS gymnasium space and construction of athletic fields",1,NA
"5432","Somerset",2023-04-04,"22900000","Issue Debt",1603,1322,"Passed","Issue bonds not to exceed $22.9M for facility improvements and renovations at the ES and athletic fields, and to construct an auditorium at the HS",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5439","South Milwaukee",1998-10-24,"750000","RR",1485,4643,"Failed","exceed revenue limit , 98-99, recurring for op & maint",NA,NA
"5439","South Milwaukee",1998-10-24,"25155000","Issue Debt",1697,4414,"Failed","middle school; relocate track & stadium; office space",NA,NA
"5439","South Milwaukee",1998-10-24,"6980000","Issue Debt",1858,4295,"Failed","operation & maintenance of buildings & grounds",NA,NA
"5439","South Milwaukee",1999-04-06,"3970000","Issue Debt",2323,1604,"Passed","capital improvements, maintenance and technology",1,NA
"5439","South Milwaukee",2002-02-19,"41980000","Issue Debt",3209,2313,"Passed","acquire land, construct/equip new HS; convert old HS into new MS; modify old MS",1,NA
"5439","South Milwaukee",2018-11-06,"3800000","RR - 2019",5198,3815,"Passed","Exceed Inequitable Revenue Caps",NA,NA
"4522","South Shore",2011-05-17,"3050000","NR - 2011",695,131,"Passed","Non-recurring purposes consisting of educational programming and facilities maintenance.",1,NA
"4522","South Shore",2015-05-19,"1128500","RR - 2016",511,123,"Passed","To Exceed Revenue Limit by $1,128,500 per year for recurring purposes",NA,NA
"5457","Southern Door County",1999-04-06,"390000","RR",833,2332,"Failed","exceed revenue limit for oper of remodeled facilities",1,NA
"5457","Southern Door County",1999-04-06,"11760000","Issue Debt",847,2374,"Failed","add to & remodel es/ms & hs; gym mezzanine, pool",1,NA
"5457","Southern Door County",2001-04-03,"8840000","Issue Debt",1444,1214,"Passed","construct classroom addition and admin. Space, renovate Elem/Middle school, construct gymnasium link addition, library and classrooms, site improvements, furnishings/fixtures/equipment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5457","Southern Door County",2011-04-05,"1250000","NR - 2011",1079,1586,"Failed","non-recurring purposes consisting of general operating expenses",NA,1
"5457","Southern Door County",2013-04-02,"3080000","NR - 2013",1033,1503,"Failed","non-recurring purposes consisting of general operating expenses",NA,1
"5457","Southern Door County",2014-11-04,"390000","NR - 2015",2248,1867,"Passed","Ongoing operational expenses necessary to maintain current educational programs.",1,1
"5457","Southern Door County",2017-04-04,"1872000","NR - 2017",1067,1091,"Failed","Ongoing operational expenses necessary to maintain current educational programs.",1,1
"5457","Southern Door County",2018-11-06,"450000","NR - 2019",2505,1737,"Passed","Operational expenses necessary to maintain educational programming and services.",1,1
"5457","Southern Door County",2018-11-06,"6270000","Issue Debt",2535,1669,"Passed","Issue debt for the purpose of paying the cost of a campus-wide school improvement plan.",NA,NA
"5457","Southern Door County",2020-11-03,"2925000","NR - 2020",3073,2029,"Passed","AUTHORIZING THE SCHOOL DISTRICT BUDGET TO EXCEED REVENUE LIMIT BY $975,000 PER YEAR FOR THREE YEARS FOR NON-RECURRING PURPOSES",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5457","Southern Door County",2022-11-08,"2925000","NR - 2023",2648,1737,"Passed","Exceed Revenue Limit by $975000 per year for three years for non recurring purposes",NA,NA
"5457","Southern Door County",2022-11-08,"14900000","Issue Debt",2220,2139,"Passed","INITIAL RESOLUTION AUTHORIZING GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $14,900,000",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2485","Southwestern Wisconsin",2004-05-25,"1500000","NR - 2004",264,343,"Failed","nonrecurring purposes",NA,NA
"2485","Southwestern Wisconsin",2017-04-04,"1e+07","Issue Debt",680,552,"Passed","To address deferred maintenance issues, install secure entrances, add additional classroom space/wing to accommodate the Middle School moving to the High School, band room addition, gym-atorium for performances and upgrade facilities to provide a 21st century learning environment.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2485","Southwestern Wisconsin",2017-04-04,"2500000","Issue Debt",541,671,"Failed","Update and redesign our athletic facilities to add a track around the football field, add concession stand with restrooms, and improve the baseball and softball fields.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2485","Southwestern Wisconsin",2020-04-07,"2500000","Issue Debt",750,512,"Passed","Improvements to elementary playground to allow access for handicapped or students in a wheelchair along with improvements to athletic field, updated football field, baseball and softball fields and add a new track for students/community to use.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2485","Southwestern Wisconsin",2023-04-04,"3900000","NR - 2023",588,601,"Failed","To exceed revenue caps for operation to maintain programs due to increased costs and inflation.  This money will be used to maintain current staff levels, programs for students, and overall operation of the district.",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5460","Sparta Area",1998-11-03,"29965000","Issue Debt",2949,2004,"Passed","new elem./midd. school; add to & remodel high school",1,NA
"5460","Sparta Area",1996-09-10,"1300000","Issue Debt",NA,NA,"Failed",NA,NA,NA
"5460","Sparta Area",1996-10-15,"1e+06","Issue Debt",NA,NA,"Failed",NA,NA,NA
"5460","Sparta Area",1996-10-15,"8e+06","Issue Debt",NA,NA,"Failed",NA,NA,NA
"5460","Sparta Area",1997-04-01,"5800000","Issue Debt",NA,NA,"Failed","new elementary school",1,NA
"5460","Sparta Area",1997-04-01,"6300000","Issue Debt",NA,NA,"Failed","remodel middle school",1,NA
"5460","Sparta Area",1997-04-01,"1e+06","Issue Debt",NA,NA,"Failed","high school addition",NA,NA
"5460","Sparta Area",2007-04-03,"3750000","NR - 2007",1639,1565,"Passed","Capital Improvements, Maintenance Projects, Safety Upgrades, and Instructional Needs",1,NA
"5460","Sparta Area",2012-02-21,"2250000","NR - 2012",1042,573,"Passed","Capital Improvements, Community Learning Centers, Technology, and Instructional Materials",1,NA
"5460","Sparta Area",2014-11-04,"3e+06","NR - 2015",3332,2438,"Passed","supporting community learning centers; providing funding for safety and security projects; and supporting the purchase of technology and instruction materials",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5460","Sparta Area",2018-04-03,"28500000","Issue Debt",1545,1460,"Passed","New elementary school",1,NA
"5460","Sparta Area",2018-04-03,"4e+06","Issue Debt",1914,1075,"Passed","Improvements and updates to existing elementary schools",1,NA
"5460","Sparta Area",2019-04-02,"2250000","NR - 2019",1985,1522,"Passed","Non-recurring purposes consisting of general operational costs.",NA,1
"5460","Sparta Area",2022-04-05,"4200000","NR - 2022",1894,1936,"Failed","Funding staffing, technology and maintenance of district facilities",1,NA
"5467","Spencer",1994-11-08,"225000","Issue Debt",888,339,"Passed","new fine arts cntr, gift of $450,000 added",1,NA
"5467","Spencer",1999-04-06,"750000","Issue Debt",379,410,"Failed","repair and renovate playgrounds and athletic fields",1,NA
"5467","Spencer",1999-04-06,"5e+05","Issue Debt",509,263,"Passed","renovate school facilities",1,NA
"5467","Spencer",1999-04-06,"250000","RR",516,288,"Passed","exceed rev limits, 99-00, recurring",NA,NA
"5467","Spencer",1997-02-18,"656183","NR - 1996",244,38,"Passed","debt service on state trust fund loan incurred to pay cost of building retrofit including HVAC, lighting and a fire alarm system",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5467","Spencer",2005-04-05,"2550000","NR - 2005",525,229,"Passed","non-recurring purposes",NA,NA
"5467","Spencer",2010-04-06,"3625000","NR - 2010",346,451,"Failed","non-recurring purposes",NA,NA
"5467","Spencer",2011-04-05,"3375000","NR - 2011",899,683,"Passed","Authorize School District Budget to Exceed Revenue Limit by $675,000 for five years for non-recurring purposes",NA,NA
"5467","Spencer",2016-04-05,"4875000","NR - 2016",805,649,"Passed","Authorize School District Budget to Exceed Revenue Limit by $975,000 for five years for non-recurring purposes",NA,NA
"5467","Spencer",2019-04-02,"5980000","Issue Debt",781,598,"Passed","renovating school building to improve safety and security; maintaining, upgrading, equipping facilities; constructing and equipping addition to building for education, music, and athletics",1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5467","Spencer",2021-04-06,"975000","NR - 2021",293,452,"Failed","Resolution Authorizing the School District Budget to Exceed Revenue Limit by $975,000 for the 2021-2022 School Year for Non-Recurring Purposes",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5467","Spencer",2022-04-05,"2550000","RR - 2022",597,553,"Passed","Authorizing the School District Budget to Exceed Revenue Limit for Recurring Purposes",NA,NA
"5474","Spooner",1997-03-04,"23500000","Issue Debt",NA,NA,"Failed",NA,NA,NA
"5474","Spooner",1999-04-06,"5e+05","RR",1269,2058,"Failed","exceed rev caps, 99-00, recurring",NA,NA
"5474","Spooner",1999-04-06,"18400000","Issue Debt",1437,1941,"Failed","school building",NA,NA
"5474","Spooner",1999-11-02,"399490","RR - 2001",1685,2089,"Failed","additional operating costs related to new h.s.",1,1
"5474","Spooner",1999-11-02,"15400000","Issue Debt",1777,2012,"Failed","construct & equip new h.s.",1,NA
"5474","Spooner",2001-11-06,"31870000","Issue Debt",1856,2103,"Failed","adding to and improving ES and MS; construct new HS, furnishings/equipment",1,NA
"5474","Spooner",2001-11-06,"975000","RR - 2002",1824,2143,"Failed","recurring purposes",NA,NA
"5474","Spooner",2002-01-15,"31870000","Issue Debt",1637,2681,"Failed","add to/improve ES and MS; construct new HS; equip/furnishings",1,NA
"5474","Spooner",2002-01-15,"975000","RR - 2002",1793,2524,"Failed","recurring purposes",NA,NA
"5474","Spooner",2002-04-02,"350000","RR - 2002",1531,1218,"Passed","recurring purposes",NA,NA
"5474","Spooner",2003-02-18,"19355000","Issue Debt",1562,1957,"Failed","construct new HS facility, remodel/expand ES, acquire equipment",1,NA
"5474","Spooner",2003-02-18,"3610000","Issue Debt",1319,2165,"Failed","construct/equip auditorium and football field at new HS facility",1,NA
"5474","Spooner",2003-02-18,"467500","RR - 2003",1439,2057,"Failed","in connection with additional facilities",1,NA
"5474","Spooner",2004-11-02,"1.8e+07","Issue Debt",2040,4113,"Failed",NA,NA,NA
"5474","Spooner",2004-11-02,"249000","RR - 2005",3677,5977,"Failed",NA,NA,NA
